cycle,date_from,date_to,total_trades,accuracy,win_rate,average_return_pct,sharpe_ratio,max_drawdown_pct,profit_factor,total_pnl_pct
0,2024-03-06,2024-04-05,2292,54.06,54.06,0.5914,4.518,-72.44,1.7782,1355.5998
0,2024-03-06,2024-04-05,465,44.3,44.3,0.1606,1.221,-21.27,1.1697,74.7
1,2024-04-05,2024-05-05,461,42.73,42.73,0.0948,0.7235,-11.84,1.0974,43.7
2,2024-05-05,2024-06-04,395,36.96,36.96,-0.1476,-1.1542,-31.13,0.8623,-58.3
0,2024-03-06,2024-04-05,45,31.11,31.11,-0.3933,-3.1754,-12.41,0.6641,-17.7
1,2024-04-05,2024-05-05,52,36.54,36.54,-0.1654,-1.2856,-10.53,0.8467,-8.6
2,2024-05-05,2024-06-04,12,25.0,25.0,-0.65,-5.4321,-4.07,0.4902,-7.8
3,2024-06-04,2024-07-04,349,40.97,40.97,0.0209,0.1605,-23.58,1.0208,7.3
3,2024-06-04,2024-07-04,45,42.22,42.22,0.0733,0.5549,-7.13,1.0747,3.3
4,2024-07-04,2024-08-03,33,57.58,57.58,0.7182,5.4085,-3.71,1.9958,23.7
5,2024-08-03,2024-09-02,29,48.28,48.28,0.3276,2.4347,-5.54,1.3725,9.5
6,2024-09-02,2024-10-02,18,50.0,50.0,0.4,2.9385,-3.54,1.4706,7.2
7,2024-10-02,2024-11-01,35,45.71,45.71,0.22,1.6452,-3.61,1.2384,7.7
4,2024-07-04,2024-08-03,323,42.11,42.11,0.0684,0.523,-29.72,1.0695,22.1
0,2024-03-06,2024-09-02,305,42.3,42.3,0.0764,0.5835,-16.39,1.0779,23.3
8,2024-11-01,2024-12-01,19,31.58,31.58,-0.3737,-2.9575,-5.72,0.6787,-7.1
9,2024-12-01,2024-12-31,118,38.14,38.14,-0.0983,-0.7617,-13.71,0.9065,-11.6
10,2024-12-31,2025-01-30,362,35.64,35.64,-0.2033,-1.6023,-35.92,0.8142,-73.6
5,2024-08-03,2024-09-02,259,44.79,44.79,0.1811,1.3737,-17.3,1.1929,46.9
1,2024-09-02,2025-03-01,294,39.12,39.12,-0.0571,-0.4418,-34.17,0.9448,-16.8
11,2025-01-30,2025-03-01,388,34.79,34.79,-0.2387,-1.8914,-40.76,0.7847,-92.6
12,2025-03-01,2025-03-31,415,35.42,35.42,-0.2123,-1.6756,-34.18,0.8066,-88.1
6,2024-09-02,2024-10-02,304,40.46,40.46,-0.0007,-0.0051,-23.11,0.9994,-0.2
0,2024-03-06,2024-04-05,465,44.3,44.3,0.1606,1.221,-21.27,1.1697,74.7
0,2024-03-06,2025-03-06,2081,38.68,38.68,-0.0753,-0.5842,-51.51,0.9278,-156.7
0,2024-03-06,2024-04-05,465,44.3,44.3,0.1606,1.221,-21.27,1.1697,74.7
13,2025-03-31,2025-04-30,359,37.6,37.6,-0.1206,-0.9398,-23.57,0.8863,-43.3
1,2024-04-05,2024-05-05,461,42.73,42.73,0.0948,0.7235,-11.84,1.0974,43.7
14,2025-04-30,2025-05-30,340,37.94,37.94,-0.1065,-0.8281,-24.4,0.8991,-36.2
7,2024-10-02,2024-11-01,479,38.83,38.83,-0.0691,-0.5353,-29.38,0.9335,-33.1
1,2024-04-05,2024-05-05,461,42.73,42.73,0.0948,0.7235,-11.84,1.0974,43.7
15,2025-05-30,2025-06-29,295,37.29,37.29,-0.1339,-1.0448,-25.13,0.8744,-39.5
2,2025-03-01,2025-08-28,2625,38.02,38.02,-0.1032,-0.8034,-51.24,0.9021,-270.9
2,2024-05-05,2024-06-04,395,36.96,36.96,-0.1476,-1.1542,-31.13,0.8623,-58.3
2,2024-05-05,2024-06-04,395,36.96,36.96,-0.1476,-1.1542,-31.13,0.8623,-58.3
8,2024-11-01,2024-12-01,379,40.11,40.11,-0.0156,-0.1199,-23.44,0.9847,-5.9
