week,week_start,week_end,n_symbols,n_trades,week_return_pct,long_return_pct,short_return_pct,ic,turnover_pct,cum_return_pct,max_drawdown_pct,regime
1,2024-09-09,2024-09-16,294,10,5.8534,12.3563,-0.6494,-0.0761,100.0,5.8534,0.0,LOW_VOL_GRIND
2,2024-09-16,2024-09-23,294,10,-0.8984,9.9482,-11.7449,0.02117,100.0,4.9025,-0.8984,LOW_VOL_GRIND
3,2024-09-23,2024-09-30,298,10,2.4602,5.0343,-0.1139,0.10217,100.0,7.4833,-0.8984,LOW_VOL_GRIND
4,2024-09-30,2024-10-07,300,5,-0.9322,-0.9322,0.0,0.18414,100.0,6.4813,-0.9322,BULL_TREND
5,2024-10-07,2024-10-14,301,5,2.334,2.334,0.0,-0.10022,100.0,8.9666,-0.9322,BULL_TREND
6,2024-10-14,2024-10-21,301,10,-1.9168,-3.114,-0.7196,-0.06042,100.0,6.8779,-1.9168,LOW_VOL_GRIND
7,2024-10-21,2024-10-28,304,10,0.239,-12.5026,12.9806,0.09753,100.0,7.1334,-1.9168,LOW_VOL_GRIND
8,2024-10-28,2024-11-04,304,5,5.2659,0.0,5.2659,0.08347,100.0,12.775,-1.9168,BEAR_TREND
9,2024-11-04,2024-11-11,304,5,27.2669,27.2669,0.0,0.22772,100.0,43.5252,-1.9168,BULL_TREND
10,2024-11-11,2024-11-18,305,10,-0.7363,-2.972,1.4994,-0.1287,100.0,42.4684,-1.9168,LOW_VOL_GRIND
11,2024-11-18,2024-11-25,309,10,6.2691,18.1901,-5.6519,-0.03413,100.0,51.3999,-1.9168,LOW_VOL_GRIND
12,2024-11-25,2024-12-02,310,7,-0.8569,7.4349,-4.1736,-0.15244,100.0,50.1026,-1.9168,LOW_VOL_GRIND
13,2024-12-02,2024-12-09,310,5,-5.9571,0.0,-5.9571,-0.01357,100.0,41.1609,-6.7629,BEAR_TREND
14,2024-12-09,2024-12-16,311,5,-7.1858,-7.1858,0.0,-0.04591,100.0,31.0173,-13.4627,BULL_TREND
15,2024-12-16,2024-12-23,315,5,3.1545,0.0,3.1545,0.04335,100.0,35.1503,-13.4627,BEAR_TREND
16,2024-12-23,2024-12-30,319,10,2.224,5.5759,-1.128,-0.0524,100.0,38.156,-13.4627,LOW_VOL_GRIND
17,2024-12-30,2025-01-06,319,10,4.309,4.5792,4.0387,-0.15999,100.0,44.1091,-13.4627,LOW_VOL_GRIND
18,2025-01-06,2025-01-13,319,10,-4.571,-21.6126,12.4706,-0.1058,100.0,37.5219,-13.4627,LOW_VOL_GRIND
19,2025-01-13,2025-01-20,320,5,3.8089,0.0,3.8089,0.04743,100.0,42.7601,-13.4627,HIGH_VOL_LATERAL
20,2025-01-20,2025-01-27,324,10,-3.604,-12.3358,5.1278,-0.11757,100.0,37.6149,-13.4627,LOW_VOL_GRIND
21,2025-01-27,2025-02-03,327,5,-2.9102,0.0,-2.9102,-0.22713,100.0,33.61,-13.4627,BEAR_TREND
22,2025-02-03,2025-02-10,328,10,2.8466,5.0004,0.6929,0.0051,70.0,37.4134,-13.4627,LOW_VOL_GRIND
23,2025-02-10,2025-02-17,328,10,5.5551,12.1148,-1.0047,0.14933,100.0,45.0469,-13.4627,LOW_VOL_GRIND
24,2025-02-17,2025-02-24,332,10,-1.0188,-2.6581,0.6205,-0.08386,100.0,43.5691,-13.4627,LOW_VOL_GRIND
25,2025-02-24,2025-03-03,333,5,-3.5257,-3.5257,0.0,-0.03711,100.0,38.5073,-13.4627,BULL_TREND
26,2025-03-03,2025-03-10,334,5,10.3302,0.0,10.3302,-0.13977,100.0,52.8153,-13.4627,BEAR_TREND
27,2025-03-10,2025-03-17,337,10,-0.215,-0.2287,-0.2013,0.01583,90.0,52.4867,-13.4627,LOW_VOL_GRIND
28,2025-03-17,2025-03-24,337,10,-2.5583,-3.9887,-1.1279,-0.10567,100.0,48.5856,-13.4627,LOW_VOL_GRIND
29,2025-03-24,2025-03-31,340,5,8.792,0.0,8.792,0.0733,80.0,61.6492,-13.4627,BEAR_TREND
30,2025-03-31,2025-04-07,342,5,-2.2527,0.0,-2.2527,-0.17869,100.0,58.0078,-13.4627,BEAR_TREND
31,2025-04-07,2025-04-14,347,5,13.4869,13.4869,0.0,0.23141,100.0,79.3181,-13.4627,BULL_TREND
32,2025-04-14,2025-04-21,347,5,2.4952,0.0,2.4952,0.26694,100.0,83.7924,-13.4627,HIGH_VOL_LATERAL
33,2025-04-21,2025-04-28,353,10,3.5836,3.681,3.4862,-0.26488,100.0,90.3788,-13.4627,LOW_VOL_GRIND
34,2025-04-28,2025-05-05,354,10,0.1479,-4.4249,4.7207,0.22041,100.0,90.6603,-13.4627,LOW_VOL_GRIND
35,2025-05-05,2025-05-12,356,5,12.4946,12.4946,0.0,-0.20511,100.0,114.4826,-13.4627,BULL_TREND
36,2025-05-12,2025-05-19,359,5,6.5988,0.0,6.5988,0.46229,100.0,128.6358,-13.4627,HIGH_VOL_LATERAL
37,2025-05-19,2025-05-26,360,10,4.5432,9.8574,-0.771,0.16141,100.0,139.0231,-13.4627,LOW_VOL_GRIND
38,2025-05-26,2025-06-02,362,5,12.001,0.0,12.001,0.26153,100.0,167.7083,-13.4627,BEAR_TREND
39,2025-06-02,2025-06-09,365,10,-4.7275,-5.8565,-3.5984,-0.03037,100.0,155.0524,-13.4627,LOW_VOL_GRIND
40,2025-06-09,2025-06-16,366,10,-0.7949,-1.0733,-0.5165,0.09079,100.0,153.025,-13.4627,LOW_VOL_GRIND
41,2025-06-16,2025-06-23,366,5,5.4248,0.0,5.4248,0.42473,100.0,166.7512,-13.4627,BEAR_TREND
42,2025-06-23,2025-06-30,369,10,5.9452,8.3327,3.5576,0.0457,100.0,182.61,-13.4627,LOW_VOL_GRIND
43,2025-06-30,2025-07-07,370,10,-4.4677,-4.1577,-4.7776,0.10304,100.0,169.9839,-13.4627,LOW_VOL_GRIND
44,2025-07-07,2025-07-14,371,5,11.6074,11.6074,0.0,-0.2576,100.0,201.322,-13.4627,BULL_TREND
45,2025-07-14,2025-07-21,371,10,0.9173,0.1428,1.6919,-0.11141,90.0,204.0861,-13.4627,LOW_VOL_GRIND
46,2025-07-21,2025-07-28,372,10,2.2532,1.6007,2.9057,0.19173,100.0,210.9378,-13.4627,LOW_VOL_GRIND
47,2025-07-28,2025-08-04,374,5,8.4473,0.0,8.4473,0.29692,100.0,237.2038,-13.4627,BEAR_TREND
48,2025-08-04,2025-08-11,376,5,-0.662,-0.662,0.0,-0.12137,100.0,234.9714,-13.4627,BULL_TREND
49,2025-08-11,2025-08-18,378,5,8.0555,0.0,8.0555,0.23158,100.0,261.955,-13.4627,BEAR_TREND
50,2025-08-18,2025-08-25,378,10,1.1831,0.1551,2.2111,0.10857,100.0,266.2374,-13.4627,LOW_VOL_GRIND
51,2025-08-25,2025-09-01,379,10,3.2332,-3.1487,9.6152,-0.04841,100.0,278.0787,-13.4627,LOW_VOL_GRIND
52,2025-09-01,2025-09-08,379,10,2.0377,0.77,3.3055,-0.13804,100.0,285.783,-13.4627,LOW_VOL_GRIND
53,2025-09-08,2025-09-15,383,10,0.7798,-3.0604,4.6199,-0.04256,100.0,288.7912,-13.4627,LOW_VOL_GRIND
54,2025-09-15,2025-09-22,384,5,1.1767,0.0,1.1767,-0.1489,100.0,293.3661,-13.4627,BEAR_TREND
55,2025-09-22,2025-09-29,390,10,-0.937,-9.9885,8.1145,0.00468,100.0,289.6802,-13.4627,LOW_VOL_GRIND
56,2025-09-29,2025-10-06,393,5,-1.6057,-1.6057,0.0,-0.09818,100.0,283.4233,-13.4627,BULL_TREND
57,2025-10-06,2025-10-13,398,5,5.927,0.0,5.927,-0.14926,100.0,306.1486,-13.4627,BEAR_TREND
58,2025-10-13,2025-10-20,401,10,-7.4043,-15.0895,0.2808,0.07362,100.0,276.0761,-13.4627,LOW_VOL_GRIND
59,2025-10-20,2025-10-27,404,5,-2.5756,-2.5756,0.0,-0.09974,100.0,266.3898,-13.4627,BULL_TREND
60,2025-10-27,2025-11-03,406,10,-2.2406,-17.97,13.4888,-0.15105,100.0,258.1804,-13.4627,LOW_VOL_GRIND
61,2025-11-03,2025-11-10,409,5,13.3593,13.3593,0.0,0.12018,100.0,306.0307,-13.4627,BULL_TREND
62,2025-11-10,2025-11-17,411,5,5.2743,0.0,5.2743,0.21731,100.0,327.4459,-13.4627,BEAR_TREND
63,2025-11-17,2025-11-24,413,5,15.8796,0.0,15.8796,0.0623,80.0,395.3224,-13.4627,BEAR_TREND
64,2025-11-24,2025-12-01,415,5,5.9549,0.0,5.9549,-0.10331,100.0,424.8184,-13.4627,BEAR_TREND
65,2025-12-01,2025-12-08,415,10,2.3759,-2.7897,7.5415,0.13177,100.0,437.2874,-13.4627,LOW_VOL_GRIND
66,2025-12-08,2025-12-15,416,10,-2.234,-8.005,3.5371,-0.0149,100.0,425.2845,-13.4627,LOW_VOL_GRIND
67,2025-12-15,2025-12-22,416,10,2.6562,0.9342,4.3782,0.00034,100.0,439.2371,-13.4627,LOW_VOL_GRIND
68,2025-12-22,2025-12-29,416,10,6.0978,11.0964,1.0992,0.07189,100.0,472.1185,-13.4627,LOW_VOL_GRIND
69,2025-12-29,2026-01-05,417,5,5.1296,5.1296,0.0,0.00051,100.0,501.4661,-13.4627,BULL_TREND
70,2026-01-05,2026-01-12,417,10,-1.5562,-3.7179,0.6055,0.00422,90.0,492.106,-13.4627,LOW_VOL_GRIND
71,2026-01-12,2026-01-19,418,5,5.0501,0.0,5.0501,-0.0265,100.0,522.0079,-13.4627,BEAR_TREND
72,2026-01-19,2026-01-26,421,10,-0.5848,-6.1528,4.9832,0.04841,100.0,518.3704,-13.4627,LOW_VOL_GRIND
73,2026-01-26,2026-02-02,422,5,10.0515,0.0,10.0515,-0.04457,100.0,580.526,-13.4627,BEAR_TREND
74,2026-02-02,2026-02-09,423,10,-3.2161,-15.2007,8.7686,0.04102,100.0,558.6399,-13.4627,LOW_VOL_GRIND
75,2026-02-09,2026-02-16,424,10,5.9485,9.9942,1.9029,0.19369,100.0,597.8191,-13.4627,LOW_VOL_GRIND
76,2026-02-16,2026-02-23,424,10,-1.2542,-10.9502,8.4418,-0.02792,100.0,589.067,-13.4627,LOW_VOL_GRIND
77,2026-02-23,2026-03-02,425,10,-3.5291,-6.7994,-0.2588,0.06395,100.0,564.7491,-13.4627,LOW_VOL_GRIND
